Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
fdaaa331-fa4a-ef11-d783-1c55f3b47d31,1992-04-08,,999-60-5736,S99947104,X38052692X,Mr.,Adolph80,Isidro558,Upton904,,,S,native,nonhispanic,M,Billings  Montana  US,861 Cormier Neck,Hardin,Montana,Big Horn County,30003.0,59034,45.693665074310665,-107.60628007371746,68396.51,2765.64,193859
d9022963-251d-170b-53d8-d3ee798d8c7a,2006-10-31,,999-39-8546,S99967535,,Ms.,Kate239,,Shanahan202,,,,white,nonhispanic,F,Kalispell  Montana  US,936 Schamberger Arcade,Billings,Montana,Yellowstone County,30111.0,59106,45.61948376207029,-108.42800798673493,3014.53,38228.67,16305
242bb17b-65a5-30d6-e7dc-69a26edc84ab,2000-05-04,,999-99-8178,S99934204,X16438040X,Mr.,Samual455,Enoch803,Armstrong51,,,,white,nonhispanic,M,Bozeman  Montana  US,669 Koelpin Junction,Four Corners,Montana,Gallatin County,,0,45.64002823552964,-111.14669525977862,52163.94,851.72,73197
bd544d36-011c-f53c-de03-d24f85f4daa6,2014-02-11,,999-27-3095,,,,Linwood526,Odell776,Bernhard322,,,,white,nonhispanic,M,Marseille  Provence-Alpes-Cote d'Azur  FR,440 Swift Park,Anaconda-Deer Lodge County,Montana,Deer Lodge County,30001.0,59762,46.11352184851595,-113.097986915919,16506.23,11559.19,82881
e38ca79e-7fd2-abd9-58f0-cfd5901e0e21,1996-07-17,,999-40-6901,S99962121,X18830946X,Mrs.,Carie544,Shawana711,Durgan499,,Labadie908,M,white,nonhispanic,F,Wibaux  Montana  US,206 Powlowski Corner Apt 33,Laurel,Montana,Yellowstone County,30111.0,59044,45.6611376687174,-108.66705536919446,78846.05,232016.44,53690
8a32b177-8beb-8b93-87bc-2df78d6b4272,2008-12-19,,999-36-2388,S99989107,,,Hung902,Casey401,Tillman293,,,,native,nonhispanic,M,Terry  Montana  US,1092 Kling Estate Apt 64,Wolf Point,Montana,Roosevelt County,30085.0,59201,48.12865565373829,-105.70175286271925,35812.93,9462.89,34777
7398ff8e-192f-d31e-61c4-920f7404a629,2012-08-24,,999-60-9428,,,,Carter549,Eli762,Hackett68,,,,white,nonhispanic,M,Kalispell  Montana  US,1027 Kautzer Stravenue Apt 44,Billings,Montana,Yellowstone County,30111.0,59105,45.63568792442695,-108.38703831996447,20992.73,23326.95,75118
4d740133-247e-3ad9-52b3-2ccb52642bf5,2017-03-09,,999-36-6260,,,,Damaris45,Melaine933,Daugherty69,,,,white,nonhispanic,F,Miles City  Montana  US,383 Robel Center Unit 50,Helena,Montana,Lewis and Clark County,30049.0,59601,46.57542638099877,-112.1945446979133,2467.24,19532.41,8912
575e7075-4f32-554b-948f-affb0b82bde2,2016-03-11,,999-45-4058,,,,Deirdre267,Ricarda574,Kassulke119,,,,white,hispanic,F,Billings  Montana  US,365 Bins Crossroad Unit 35,Rocky Boy West,Montana,Chouteau County,,0,48.30777512537433,-109.97998662746691,1898.53,23484.76,24503
0eace163-93ee-4983-57fe-852972748922,2005-11-18,,999-24-3616,S99999765,X51781813X,Mr.,Elvis145,,Schowalter414,,,,white,nonhispanic,M,Wolf Point  Montana  US,1098 Quitzon Walk,Bozeman,Montana,Gallatin County,30031.0,59718,45.87240627383924,-110.90219434873956,32060.62,31588.88,115160
a1b52d41-2564-392c-4a10-9624c49531c5,2012-02-15,,999-67-3548,,,,Shaunta614,Armandina361,Reinger292,,,,white,nonhispanic,F,Missoula  Montana  US,1075 Hills Skyway,Crow Agency,Montana,Big Horn County,30003.0,59022,45.56859414630679,-107.2907045978442,3417.95,128778.31,21764
e6a267f2-2039-e681-3bc4-ccb1eb9ddebc,2008-03-25,,999-48-1226,S99960773,,,Meg231,,Batz141,,,,white,nonhispanic,F,Sidney  Montana  US,561 Smitham Spur,Great Falls,Montana,Cascade County,30013.0,59405,47.67411836815309,-111.3687497057904,27745.61,26719.47,105904
95729de2-9aa9-9162-78a4-5d72d88c7803,2013-07-27,,999-41-3105,,,,Hertha832,,Zboncak558,,,,white,nonhispanic,F,Helena Valley Northwest  Montana  US,316 Adams Highlands,Kalispell,Montana,Flathead County,30029.0,59901,48.26039628019585,-114.36330687530656,19845.79,20255.77,94615
f5b026ec-b2f0-c8ea-e819-b065764739e9,2004-03-17,,999-63-3698,S99992014,X75260179X,Ms.,Jessenia588,Marlo857,Olson653,,,,white,nonhispanic,F,Kalispell  Montana  US,644 Baumbach Path Unit 33,Malmstrom AFB,Montana,Cascade County,30013.0,59402,47.54234642783337,-111.2183244935632,95563.43,104109.83,71390
629624bb-89ac-0ce0-0649-da66d17a38a3,1964-12-09,,999-19-6923,S99932134,X76746487X,Mrs.,Dollie671,Anna632,O'Hara248,,Funk324,M,white,nonhispanic,F,Helena Valley Northwest  Montana  US,982 Jacobson Camp,Billings,Montana,Yellowstone County,30111.0,59106,45.57454725456375,-108.37266759483008,249688.37,47378.69,72920
bc24b274-db4b-0599-0219-26c2b57ec5f8,1984-06-04,,999-19-7866,S99923631,X20363163X,Mrs.,Irina619,,Rutherford999,,Bosco882,M,white,nonhispanic,F,Billings  Montana  US,970 Gislason Fort Suite 58,Missoula,Montana,Missoula County,30063.0,59802,46.77559076969749,-113.9363894947903,637271.06,675029.77,47801
976c5a3c-9cab-a0c2-d14f-f1e296ccd5d3,1996-05-16,,999-82-2552,S99936329,X65335465X,Ms.,Monet875,Shantae970,Gislason620,,,S,white,nonhispanic,F,Hamburg  Hamburg  DE,579 Roberts Fort,Thompson Falls,Montana,Sanders County,30089.0,59873,47.6205501682486,-115.34029537449136,203584.71,1139600.73,76244
e29437d1-5498-18e0-c394-c3a5315f42d1,2007-08-09,,999-92-8526,S99973042,,Mr.,Efrain317,Isreal8,Maggio310,,,,white,nonhispanic,M,Miles City  Montana  US,734 Nienow Village,Missoula,Montana,Missoula County,30063.0,59803,46.84533948931611,-114.02949099794976,63437.29,10452.75,35088
972d9d9b-4d0e-c515-8270-02da3a1178bf,2021-10-25,,999-71-8911,,,,Israel728,Frederic454,Cartwright189,,,,white,nonhispanic,M,Helena Valley Northwest  Montana  US,149 Reilly Wynd,Great Falls,Montana,Cascade County,30013.0,59404,47.4866194849002,-111.26267731050903,7874.94,8442.91,137043
f6daaf83-b386-2162-d566-29c8c5dc8b08,1977-02-09,,999-57-5813,S99997269,X68630482X,Mrs.,Tova870,Keisha459,Kirlin939,,Rodriguez71,D,white,nonhispanic,F,Billings  Montana  US,580 Daugherty Manor,Billings,Montana,Yellowstone County,30111.0,59102,45.59777795308199,-108.43922285538942,85867.65,845545.72,58821
